crawler date,address,postal_code,url,bedrooms,bathrooms,area,latitude,longitude,price
2019-07-25,"6648 Mount Hope Dr, San Jose ,CA ",95120,https://www.zillow.com/homedetails/6648-Mount-Hope-Dr-San-Jose-CA-95120/19835542_zpid/,3,3,2113,37.218256,-121.854181,1575000
2019-07-25,"2184 Peachtree Ln, San Jose ,CA ",95128,https://www.zillow.com/homedetails/2184-Peachtree-Ln-San-Jose-CA-95128/19583450_zpid/,3,2,1246,37.334222,-121.939757,1199000
2019-07-25,"4104 Dulcey Dr, San Jose ,CA ",95136,https://www.zillow.com/homedetails/4104-Dulcey-Dr-San-Jose-CA-95136/19705257_zpid/,4,3,2236,37.272816,-121.841923,899000
2019-07-25,"5561 Shadowcrest Way, San Jose ,CA ",95123,https://www.zillow.com/homedetails/5561-Shadowcrest-Way-San-Jose-CA-95123/19709077_zpid/,4,2,1676,37.251834,-121.844552,1126000
2019-07-26,"2792 Clara Smith Pl, San Jose ,CA ",95135,https://www.zillow.com/homedetails/2792-Clara-Smith-Pl-San-Jose-CA-95135/64753640_zpid/,6,5,4349,37.295339,-121.769047,2200000
2019-07-26,"1898 Meridian Ave UNIT 12, San Jose ,CA ",95125,https://www.zillow.com/homedetails/1898-Meridian-Ave-UNIT-12-San-Jose-CA-95125/19682816_zpid/,3,2,1312,37.289125,-121.912972,798800
2019-07-26,"900 Golden Wheel # 118, San Jose ,CA ",95112,https://www.zillow.com/homedetails/900-Golden-Wheel-118-San-Jose-CA-95112/2083383192_zpid/,2,1,550,37.3469,-121.8872,199999
2019-07-26,"5770 Winfield Blvd SPC 9, San Jose ,CA ",95123,https://www.zillow.com/homedetails/5770-Winfield-Blvd-SPC-9-San-Jose-CA-95123/2083383442_zpid/,3,2,1800,37.247705,-121.866011,379900
2019-07-26,"411 Lewis Rd SPC 438, San Jose ,CA ",95111,https://www.zillow.com/homedetails/411-Lewis-Rd-SPC-438-San-Jose-CA-95111/2083383882_zpid/,2,2,1272,37.296332,-121.84272,199900
2019-07-26,"295 Tradewinds Dr APT 106, San Jose ,CA ",95123,https://www.zillow.com/homedetails/295-Tradewinds-Dr-APT-106-San-Jose-CA-95123/59683961_zpid/,3,2,1449,37.256347,-121.827551,668888
2019-07-26,"2373 Richland Ave, San Jose ,CA ",95125,https://www.zillow.com/homedetails/2373-Richland-Ave-San-Jose-CA-95125/19687286_zpid/,6,5,3952,37.286407,-121.8897,2749000
